date,close
14-07-21,282.51
15-07-21,281.03
16-07-21,280.75
19-07-21,277.01
20-07-21,279.32
21-07-21,281.4
22-07-21,286.14
23-07-21,289.67
26-07-21,289.05
27-07-21,286.54
28-07-21,286.22
29-07-21,286.5
30-07-21,284.91
02-08-21,284.82
03-08-21,287.12
04-08-21,286.51
05-08-21,289.52
06-08-21,289.46
09-08-21,288.33
10-08-21,286.44
11-08-21,286.95
12-08-21,289.81
13-08-21,292.85
16-08-21,294.6
17-08-21,293.08
18-08-21,290.73
19-08-21,296.77
20-08-21,304.36
23-08-21,304.65
24-08-21,302.62
25-08-21,302.01
26-08-21,299.09
27-08-21,299.72
30-08-21,303.59
31-08-21,301.88
01-09-21,301.83
02-09-21,301.15
03-09-21,301.14
07-09-21,300.18
08-09-21,300.21
09-09-21,297.25
10-09-21,295.71
13-09-21,296.99
14-09-21,299.79
15-09-21,304.82
16-09-21,305.22
17-09-21,299.87
20-09-21,294.3
21-09-21,294.8
22-09-21,298.58
23-09-21,299.56
24-09-21,299.35
27-09-21,294.17
28-09-21,283.52
29-09-21,284
30-09-21,281.92
01-10-21,289.1
04-10-21,283.11
05-10-21,288.76
06-10-21,293.11
07-10-21,294.85
08-10-21,294.85
11-10-21,294.23
12-10-21,292.88
13-10-21,296.31
14-10-21,302.75
15-10-21,304.21
18-10-21,307.29
19-10-21,308.23
20-10-21,307.41
21-10-21,310.76
22-10-21,309.16
25-10-21,308.13
26-10-21,310.11
27-10-21,323.17
28-10-21,324.35
29-10-21,331.62
01-11-21,329.37
02-11-21,333.13
03-11-21,334
04-11-21,336.44
05-11-21,336.06
08-11-21,336.99
09-11-21,335.95
10-11-21,330.8
11-11-21,332.43
12-11-21,336.72
15-11-21,336.07
16-11-21,339.51
17-11-21,339.12
18-11-21,341.27
19-11-21,343.11
22-11-21,339.83
23-11-21,337.68
24-11-21,337.91
26-11-21,329.68
29-11-21,336.63
30-11-21,330.59
01-12-21,330.08
02-12-21,329.49
03-12-21,323.01
06-12-21,326.19
07-12-21,334.92
08-12-21,334.97
09-12-21,333.1
10-12-21,342.54
13-12-21,339.4
14-12-21,328.34
15-12-21,334.65
16-12-21,324.9
17-12-21,323.8
20-12-21,319.91
21-12-21,327.29
22-12-21,333.2
23-12-21,334.69
27-12-21,342.45
28-12-21,341.25
29-12-21,341.95
30-12-21,339.32
31-12-21,336.32
03-01-22,334.75
04-01-22,329.01
05-01-22,316.38
06-01-22,313.88
07-01-22,314.04
10-01-22,314.27
11-01-22,314.98
12-01-22,318.27
13-01-22,304.8
14-01-22,310.2
18-01-22,302.65
19-01-22,303.33
20-01-22,301.6
21-01-22,296.03
24-01-22,296.37
25-01-22,288.49
26-01-22,296.71
27-01-22,299.84
28-01-22,308.26
31-01-22,310.98
01-02-22,308.76
02-02-22,313.46
03-02-22,301.25
04-02-22,305.94
07-02-22,300.95
08-02-22,304.56
09-02-22,311.21
10-02-22,302.38
11-02-22,295.04
14-02-22,295
15-02-22,300.47
16-02-22,299.5
17-02-22,290.73
18-02-22,287.93
22-02-22,287.72
23-02-22,280.27
24-02-22,294.59
25-02-22,297.31
28-02-22,298.79
01-03-22,294.95
02-03-22,300.19
03-03-22,295.92
04-03-22,289.86
07-03-22,278.91
08-03-22,275.85
09-03-22,288.5
10-03-22,285.59
11-03-22,280.07
14-03-22,276.44
15-03-22,287.15
16-03-22,294.39
17-03-22,295.22
18-03-22,300.43
21-03-22,299.16
22-03-22,304.06
23-03-22,299.49
24-03-22,304.1
25-03-22,303.68
28-03-22,310.7
29-03-22,315.41
30-03-22,313.86
31-03-22,308.31
01-04-22,309.42
04-04-22,314.97
05-04-22,310.88
06-04-22,299.5
07-04-22,301.37
08-04-22,296.97
11-04-22,285.26
12-04-22,282.06
13-04-22,287.62
14-04-22,279.83
18-04-22,280.52
19-04-22,285.3
20-04-22,286.36
21-04-22,280.81
22-04-22,274.03
25-04-22,280.72
26-04-22,270.22
27-04-22,283.22
28-04-22,289.63
29-04-22,277.52
02-05-22,284.47
03-05-22,281.78
04-05-22,289.98
05-05-22,277.35
06-05-22,274.73
09-05-22,264.58
10-05-22,269.5
11-05-22,260.55
12-05-22,255.35
13-05-22,261.12
16-05-22,261.5
17-05-22,266.82
18-05-22,254.08
19-05-22,253.14
20-05-22,252.56
23-05-22,260.65
24-05-22,259.62
25-05-22,262.52
26-05-22,265.9
27-05-22,273.24
31-05-22,271.87
01-06-22,272.42
02-06-22,274.58
03-06-22,270.02
06-06-22,268.75
07-06-22,272.5
08-06-22,270.41
09-06-22,264.79
10-06-22,252.99
13-06-22,242.26
14-06-22,244.49
15-06-22,251.76
16-06-22,244.97
17-06-22,247.65
21-06-22,253.74
22-06-22,253.13
23-06-22,258.86
24-06-22,267.7
27-06-22,264.89
28-06-22,256.48
29-06-22,260.26
30-06-22,256.83
01-07-22,259.58
05-07-22,262.85
06-07-22,266.21
07-07-22,268.4
08-07-22,267.66
11-07-22,264.51
12-07-22,253.67
13-07-22,252.72
14-07-22,254.08
15-07-22,256.72
18-07-22,254.25
19-07-22,259.53
20-07-22,262.27
21-07-22,264.84
22-07-22,260.36
25-07-22,258.83
26-07-22,251.9
27-07-22,268.74
28-07-22,276.41
29-07-22,280.74
01-08-22,278.01
02-08-22,274.82
03-08-22,282.47
04-08-22,283.65
05-08-22,282.91
08-08-22,280.32
09-08-22,282.3
10-08-22,289.16
11-08-22,287.02
12-08-22,291.91
15-08-22,293.47
16-08-22,292.71
17-08-22,291.32
18-08-22,290.17
19-08-22,286.15
22-08-22,277.75
23-08-22,276.44
24-08-22,275.79
25-08-22,278.85
26-08-22,268.09
29-08-22,265.23
30-08-22,262.97
31-08-22,261.47
01-09-22,260.4
02-09-22,256.06
06-09-22,253.25
07-09-22,258.09
08-09-22,258.52
09-09-22,264.46
12-09-22,266.65
13-09-22,251.99
14-09-22,252.22
15-09-22,245.38
16-09-22,244.74
19-09-22,244.52
20-09-22,242.45
21-09-22,238.95
22-09-22,240.98
23-09-22,237.92
26-09-22,237.45
27-09-22,236.41
28-09-22,241.07
29-09-22,237.5
30-09-22,232.9
03-10-22,240.74
04-10-22,248.88
05-10-22,249.2
06-10-22,246.79
07-10-22,234.24
